smiles	idnumber	name	mw	logp	hba	hbd	rotb	tpsa	fsp3	hac
CC(C)[C@@H](CO)NC(=O)C1COC(C)C1	IMED1787287909	N-[(2S)-1-hydroxy-3-methylbutan-2-yl]-5-methyloxolane-3-carboxamide	215.293	0.544	3	2	4	58.56	0.909	15
CC(O)CC(C)NC(=O)C1COC(C)C1	IMED1787340863	N-(4-hydroxypentan-2-yl)-5-methyloxolane-3-carboxamide	215.293	0.687	3	2	4	58.56	0.909	15
CC1CC(CO1)C(=O)NC(C)(C)CCO	IMED1787274530	N-(4-hydroxy-2-methylbutan-2-yl)-5-methyloxolane-3-carboxamide	215.293	0.689	3	2	4	58.56	0.909	15
CC(CO)C(C)NC(=O)C1COC(C)C1	IMED1787204696	N-(4-hydroxy-3-methylbutan-2-yl)-5-methyloxolane-3-carboxamide	215.293	0.544	3	2	4	58.56	0.909	15
CC1CC(CO1)C(=O)NCC(C)(O)CO	IMED2019210396	N-(2,3-dihydroxy-2-methylpropyl)-5-methyloxolane-3-carboxamide	217.265	-0.729	4	3	4	78.79	0.9	15
CC(C)C(O)CNC(=O)C1COC(C)C1	IMED1787194854	N-(2-hydroxy-3-methylbutyl)-5-methyloxolane-3-carboxamide	215.293	0.544	3	2	4	58.56	0.909	15
CC1CC(CO1)C(=O)NCC1=NC=CN1	IMED1787023495	N-[(1H-imidazol-2-yl)methyl]-5-methyloxolane-3-carboxamide	209.249	0.451	3	2	3	67.01	0.6	15
CC(O)C(C)(C)NC(=O)C1COC(C)C1	IMED1787288026	N-(3-hydroxy-2-methylbutan-2-yl)-5-methyloxolane-3-carboxamide	215.293	0.687	3	2	3	58.56	0.909	15
CC(C)CNS(=O)(=O)N(C)CC(C)C#N	IMED2000439671	(2-cyano-2-methylethyl)(methyl)[(2-methylpropyl)sulfamoyl]amine	233.337	0.568	3	1	6	73.2	0.889	15
CC1CC(CO1)C(=O)NCC1=CNC=N1	IMED1787080421	N-[(1H-imidazol-4-yl)methyl]-5-methyloxolane-3-carboxamide	209.249	0.451	3	2	3	67.01	0.6	15
CC1CC(CO1)C(=O)NC1=CC(C)=NN1	IMED1788381083	5-methyl-N-(3-methyl-1H-pyrazol-5-yl)oxolane-3-carboxamide	209.249	1.082	3	2	2	67.01	0.6	15
COC(=O)CN(C)C(=O)C1COC(C)C1	IMED1786713058	methyl 2-[N-methyl-1-(5-methyloxolan-3-yl)formamido]acetate	215.249	0.043	4	0	3	55.84	0.8	15
CC[C@@H](CO)NC(=O)C1CN(C)C(=O)C1	IMED1768967964	N-[(2S)-1-hydroxybutan-2-yl]-1-methyl-5-oxopyrrolidine-3-carboxamide	214.265	-0.648	3	2	4	69.64	0.8	15
CC(C)CNS(=O)(=O)N(C)C(C)CC#N	IMED2010950428	(1-cyanopropan-2-yl)(methyl)[(2-methylpropyl)sulfamoyl]amine	233.337	0.711	3	1	6	73.2	0.889	15
CCC(C)CC(=O)NC1CCCC1C#N	IMED1840236019	N-(2-cyanocyclopentyl)-3-methylpentanamide	208.305	2.231	2	1	4	52.89	0.833	15
CCC(C)CC(=O)NC1CCC(=O)NC1	IMED1839367021	3-methyl-N-(6-oxopiperidin-3-yl)pentanamide	212.293	0.817	2	2	4	58.2	0.818	15
CN(C)S(=O)(=O)N(C)CC1(O)CCCC1	IMED1545054227	1-{[(dimethylsulfamoyl)(methyl)amino]methyl}cyclopentan-1-ol	236.337	0.03	3	1	4	60.85	1.0	15
CC(O)CCN(C)CC1(O)CCOCC1	IMED1470697590	4-{[(3-hydroxybutyl)(methyl)amino]methyl}oxan-4-ol	217.309	0.231	4	2	5	52.93	1.0	15
CC(CN(C)CC1(O)CCOCC1)C#N	IMED1480855228	3-{[(4-hydroxyoxan-4-yl)methyl](methyl)amino}-2-methylpropanenitrile	212.293	0.619	4	1	4	56.49	0.909	15
CN(CC(C)(C)O)CC1(O)CCOCC1	IMED1482259847	4-{[(2-hydroxy-2-methylpropyl)(methyl)amino]methyl}oxan-4-ol	217.309	0.231	4	2	4	52.93	1.0	15
CCC(N1CCCC(C)(C1)OC)C(N)=O	IMED1939907339	2-(3-methoxy-3-methylpiperidin-1-yl)butanamide	214.309	0.751	3	1	4	55.56	0.909	15
CCCS(=O)(=O)N(C)CC1(O)CCCC1	IMED1545051021	N-[(1-hydroxycyclopentyl)methyl]-N-methylpropane-1-sulfonamide	235.349	0.963	3	1	5	57.61	1.0	15
CN(C)C(=O)N(C)CC1(O)CCOCC1	IMED1765693233	1-[(4-hydroxyoxan-4-yl)methyl]-1,3,3-trimethylurea	216.281	0.141	3	1	2	53.01	0.9	15
CC(C)NS(=O)(=O)N(CCO)CC(F)F	IMED1958830307	(2,2-difluoroethyl)(2-hydroxyethyl)[(propan-2-yl)sulfamoyl]amine	246.279	-0.211	3	2	7	69.64	1.0	15
OCCN(CC(F)F)S(=O)(=O)NC1CC1	IMED1958831783	(cyclopropylsulfamoyl)(2,2-difluoroethyl)(2-hydroxyethyl)amine	244.263	-0.457	3	2	7	69.64	1.0	15
CC(C)NS(=O)(=O)N(C)CC1CC(O)C1	IMED1796998407	3-({methyl[(propan-2-yl)sulfamoyl]amino}methyl)cyclobutan-1-ol	236.337	-0.068	3	2	5	69.64	1.0	15
COC(C)CNS(=O)(=O)CC1CCCO1	IMED1797060504	N-(2-methoxypropyl)-1-(oxolan-2-yl)methanesulfonamide	237.321	0.12	4	1	6	64.63	1.0	15
COC(C)CNS(=O)(=O)N1CCCCC1	IMED1797059519	N-(2-methoxypropyl)piperidine-1-sulfonamide	236.337	0.342	3	1	5	58.64	1.0	15
COC(C)CNC(=O)C1(CCCC1)C#N	IMED1796518980	1-cyano-N-(2-methoxypropyl)cyclopentane-1-carboxamide	210.277	1.221	3	1	4	62.12	0.818	15
O=C(NC1=CN=CN=C1)C1(CCC1)C#N	IMED1699067260	1-cyano-N-(pyrimidin-5-yl)cyclobutane-1-carboxamide	202.217	1.109	4	1	2	78.67	0.4	15
CC1CCCN1C1=NC(=CC(C)=N1)C#N	IMED2091534378	6-methyl-2-(2-methylpyrrolidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.645	4	0	1	52.81	0.545	15
CC1CC(CO1)C(=O)NC(C#N)C1CC1	IMED1786304438	N-[cyano(cyclopropyl)methyl]-5-methyloxolane-3-carboxamide	208.261	0.83	3	1	3	62.12	0.818	15
COC(C)CNS(=O)(=O)N1CCOCC1	IMED1797060226	N-(2-methoxypropyl)morpholine-4-sulfonamide	238.309	-0.812	4	1	5	67.87	1.0	15
CC1CCN(CC1)C1=NC(=CC=N1)C#N	IMED2271095431	2-(4-methylpiperidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.585	4	0	1	52.81	0.545	15
CC1=NC(NC2CCCC2)=NC(=C1)C#N	IMED1980981279	2-(cyclopentylamino)-6-methylpyrimidine-4-carbonitrile	202.261	2.011	4	1	2	61.6	0.545	15
COC(C)CNS(=O)(=O)NCC(F)(F)F	IMED1998528966	[(2-methoxypropyl)sulfamoyl](2,2,2-trifluoroethyl)amine	250.242	0.008	3	2	6	67.43	1.0	15
CC1CCCN(C1)C1=NC(=CC=N1)C#N	IMED2271083942	2-(3-methylpiperidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.585	4	0	1	52.81	0.545	15
CC1CCN(C1)C1=NC(=CC(C)=N1)C#N	IMED1981070192	6-methyl-2-(3-methylpyrrolidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.503	4	0	1	52.81	0.545	15
N#CC1=NC(=NC=C1)N1CCCSCC1	IMED2271382900	2-(1,4-thiazepan-4-yl)pyrimidine-4-carbonitrile	220.301	1.292	5	0	1	52.81	0.5	15
N#CC1=NC(NC2CCCOC2)=NC=C1	IMED2271808087	2-[(oxan-3-yl)amino]pyrimidine-4-carbonitrile	204.233	0.939	5	1	2	70.83	0.5	15
CC1CCCC1NC1=NC(=CC=N1)C#N	IMED2271762064	2-[(2-methylcyclopentyl)amino]pyrimidine-4-carbonitrile	202.261	1.949	4	1	2	61.6	0.545	15
CC1CCCCN1C1=NC(=CC=N1)C#N	IMED2271100426	2-(2-methylpiperidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.727	4	0	1	52.81	0.545	15
CN(C1CCC1)C1=NC(=CC(C)=N1)C#N	IMED2091464937	2-[cyclobutyl(methyl)amino]-6-methylpyrimidine-4-carbonitrile	202.261	1.645	4	0	2	52.81	0.545	15
N#CC1=NC(=NC=C1)N1CCCCCC1	IMED2271080976	2-(azepan-1-yl)pyrimidine-4-carbonitrile	202.261	1.729	4	0	1	52.81	0.545	15
OCC1CN(C1)C(=O)C1=C(Br)C=CC=N1	IMED1952849691	[1-(3-bromopyridine-2-carbonyl)azetidin-3-yl]methanol	271.114	0.908	3	1	2	53.43	0.4	15
CC1CC(C)N(C1)C1=NC(=CC=N1)C#N	IMED2271960811	2-(2,4-dimethylpyrrolidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.583	4	0	1	52.81	0.545	15
N#CC1=NC(=NC=C1)N1CC2CCC1C2	IMED2271451676	2-{2-azabicyclo[2.2.1]heptan-2-yl}pyrimidine-4-carbonitrile	200.245	1.337	4	0	1	52.81	0.545	15
CC1=CCN(CC1)C1=NC(=CC=N1)C#N	IMED2272246512	2-(4-methyl-1,2,3,6-tetrahydropyridin-1-yl)pyrimidine-4-carbonitrile	200.245	1.505	4	0	1	52.81	0.364	15
CC1=NC(=NC(=C1)C#N)N1CC(CO)C1	IMED1981079607	2-[3-(hydroxymethyl)azetidin-1-yl]-6-methylpyrimidine-4-carbonitrile	204.233	0.085	5	1	2	73.04	0.5	15
CC1=NC(=NC(=C1)C#N)N1CC(C)(O)C1	IMED2091969955	2-(3-hydroxy-3-methylazetidin-1-yl)-6-methylpyrimidine-4-carbonitrile	204.233	0.228	5	1	1	73.04	0.5	15
CC1CN(CC1C)C1=NC(=CC=N1)C#N	IMED2272028716	2-(3,4-dimethylpyrrolidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.44	4	0	1	52.81	0.545	15
CC1=NC(=NC(=C1)C#N)N1CC[C@@H](O)C1	IMED1981050004	2-[(3R)-3-hydroxypyrrolidin-1-yl]-6-methylpyrimidine-4-carbonitrile	204.233	0.228	5	1	1	73.04	0.5	15
CC1=NC(=NC(=C1)C#N)N1CC[C@H](O)C1	IMED1981049869	2-[(3S)-3-hydroxypyrrolidin-1-yl]-6-methylpyrimidine-4-carbonitrile	204.233	0.228	5	1	1	73.04	0.5	15
CC1=NC(=NC(=C1)C#N)N1CCSCC1	IMED1981025478	6-methyl-2-(thiomorpholin-4-yl)pyrimidine-4-carbonitrile	220.301	1.21	5	0	1	52.81	0.5	15
CCN(CC)S(=O)(=O)C1=C(C)ON=C1N	IMED1981332168	3-amino-N,N-diethyl-5-methyl-1,2-oxazole-4-sulfonamide	233.293	0.596	5	1	4	89.43	0.625	15
CC1(C)CCN(C1)C1=NC(=CC=N1)C#N	IMED2272019940	2-(3,3-dimethylpyrrolidin-1-yl)pyrimidine-4-carbonitrile	202.261	1.585	4	0	1	52.81	0.545	15
CN(C1CCCC1)C1=NC(=CC=N1)C#N	IMED2271206799	2-[cyclopentyl(methyl)amino]pyrimidine-4-carbonitrile	202.261	1.727	4	0	2	52.81	0.545	15
CC1OCCC1NC1=NC(=CC=N1)C#N	IMED2272278088	2-[(2-methyloxolan-3-yl)amino]pyrimidine-4-carbonitrile	204.233	0.938	5	1	2	70.83	0.5	15
CC1CN(CCS1)C1=NC(=CC=N1)C#N	IMED2271748654	2-(2-methylthiomorpholin-4-yl)pyrimidine-4-carbonitrile	220.301	1.29	5	0	1	52.81	0.5	15
CC1=NC(NC2CC2(C)C)=NC(=C1)C#N	IMED2089779321	2-[(2,2-dimethylcyclopropyl)amino]-6-methylpyrimidine-4-carbonitrile	202.261	1.867	4	1	2	61.6	0.545	15
CN(C1CCSC1)C1=NC(=CC=N1)C#N	IMED2272250215	2-[methyl(thiolan-3-yl)amino]pyrimidine-4-carbonitrile	220.301	1.29	5	0	2	52.81	0.5	15
CC(=O)NCC1CCN(CCC#N)CC1	IMED642623493	N-{[1-(2-cyanoethyl)piperidin-4-yl]methyl}acetamide	209.293	0.748	3	1	4	56.13	0.818	15
CC(O)CN1CCC(CNC(C)=O)CC1	IMED1230109673	N-{[1-(2-hydroxypropyl)piperidin-4-yl]methyl}acetamide	214.309	0.215	3	2	4	52.57	0.909	15
CC1CCN(CC(=O)NC2CC2)C1CO	IMED1796951990	N-cyclopropyl-2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]acetamide	212.293	-0.032	3	2	4	52.57	0.909	15
CC1CCN(CC2=NC=NN2C)C1CO	IMED1796945985	{3-methyl-1-[(1-methyl-1H-1,2,4-triazol-5-yl)methyl]pyrrolidin-2-yl}methanol	210.281	0.018	5	1	3	54.18	0.8	15
CC1CCN(CC(=O)NCC#N)C1CO	IMED1796952626	N-(cyanomethyl)-2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]acetamide	211.265	-0.671	4	2	4	76.36	0.8	15
CC1CCN(CCCS(C)(=O)=O)C1CO	IMED1796938642	[1-(3-methanesulfonylpropyl)-3-methylpyrrolidin-2-yl]methanol	235.349	0.124	4	1	5	57.61	1.0	15
CC1CCN(CC2=NC(C)=NO2)C1CO	IMED1796940796	{3-methyl-1-[(3-methyl-1,2,4-oxadiazol-5-yl)methyl]pyrrolidin-2-yl}methanol	211.265	0.581	5	1	3	62.39	0.8	15
CC(C)NC(=O)CN1CCC(C)C1CO	IMED1796940278	2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]-N-(propan-2-yl)acetamide	214.309	0.214	3	2	4	52.57	0.909	15
CCCCS(=O)(=O)N1CCC(C)C1CO	IMED1797022786	[1-(butane-1-sulfonyl)-3-methylpyrrolidin-2-yl]methanol	235.349	0.819	3	1	5	57.61	1.0	15
COCCS(=O)(=O)N1CCC(C)C1CO	IMED1797022199	[1-(2-methoxyethanesulfonyl)-3-methylpyrrolidin-2-yl]methanol	237.321	-0.335	4	1	5	66.84	1.0	15
CC1CCN(CCNS(C)(=O)=O)C1CO	IMED1796945854	N-{2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]ethyl}methanesulfonamide	236.337	-0.762	4	2	5	69.64	1.0	15
CC1CCN(C1CO)C(=O)CNC(C)=O	IMED1796484180	N-{2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]-2-oxoethyl}acetamide	214.265	-0.648	3	2	3	69.64	0.8	15
CC1CCN(C1CO)C(=O)CSCC#N	IMED1796481023	2-({2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]-2-oxoethyl}sulfanyl)acetonitrile	228.317	0.472	4	1	4	64.33	0.8	15
CC1CCN(C1CO)C(=O)CCC(C)=O	IMED2003832194	1-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]pentane-1,4-dione	213.277	0.585	3	1	4	57.61	0.818	15
CC1CCN(C1CO)C(=O)CS(C)(=O)=O	IMED1796478393	1-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]-2-methanesulfonylethan-1-one	235.305	-0.74	4	1	3	74.68	0.889	15
CC1CCN(C1CO)C(=O)C1=CSN=N1	IMED1796480360	[3-methyl-1-(1,2,3-thiadiazole-4-carbonyl)pyrrolidin-2-yl]methanol	227.289	0.381	5	1	2	66.32	0.667	15
CC1CCN(C1CO)C(=O)C1=CN=NS1	IMED1796479064	[3-methyl-1-(1,2,3-thiadiazole-5-carbonyl)pyrrolidin-2-yl]methanol	227.289	0.381	5	1	2	66.32	0.667	15
CCCNS(=O)(=O)N1CCC(C)C1CO	IMED2200723661	2-(hydroxymethyl)-3-methyl-N-propylpyrrolidine-1-sulfonamide	236.337	-0.067	3	2	5	69.64	1.0	15
CC(C)NS(=O)(=O)N1CCC(C)C1CO	IMED1797019910	2-(hydroxymethyl)-3-methyl-N-(propan-2-yl)pyrrolidine-1-sulfonamide	236.337	-0.068	3	2	4	69.64	1.0	15
CC1CCN(C1CO)S(=O)(=O)NC1CC1	IMED1797020902	N-cyclopropyl-2-(hydroxymethyl)-3-methylpyrrolidine-1-sulfonamide	234.321	-0.314	3	2	4	69.64	1.0	15
CC1CCN(CC2=NN=C(C)O2)C1CO	IMED1796954222	{3-methyl-1-[(5-methyl-1,3,4-oxadiazol-2-yl)methyl]pyrrolidin-2-yl}methanol	211.265	0.581	5	1	3	62.39	0.8	15
CC1CCN(CCN2C=NC=N2)C1CO	IMED1796945819	{3-methyl-1-[2-(1H-1,2,4-triazol-1-yl)ethyl]pyrrolidin-2-yl}methanol	210.281	-0.019	5	1	4	54.18	0.8	15
CC(CO)N(C)C(=O)C1=CN(C)N=C1C	IMED1511748357	N-(1-hydroxypropan-2-yl)-N,1,3-trimethyl-1H-pyrazole-4-carboxamide	211.265	0.181	4	1	3	58.36	0.6	15
CN1C=C(C(=O)NC(C)(C)CO)C(C)=N1	IMED1532899170	N-(1-hydroxy-2-methylpropan-2-yl)-1,3-dimethyl-1H-pyrazole-4-carboxamide	211.265	0.229	4	2	3	67.15	0.6	15
CN1C=C(C(=O)NC2(CO)CC2)C(C)=N1	IMED1511727201	N-[1-(hydroxymethyl)cyclopropyl]-1,3-dimethyl-1H-pyrazole-4-carboxamide	209.249	-0.017	4	2	3	67.15	0.6	15
CC1OCCC1SC1=NC(=CC=N1)C#N	IMED2272239095	2-[(2-methyloxolan-3-yl)sulfanyl]pyrimidine-4-carbonitrile	221.285	1.618	5	0	2	58.8	0.5	15
CC1OCCC1SC1=NC=C(N=C1)C#N	IMED1724665333	5-[(2-methyloxolan-3-yl)sulfanyl]pyrazine-2-carbonitrile	221.285	1.618	5	0	2	58.8	0.5	15
CC1OCCC1SC1=C(N=CC=N1)C#N	IMED1510360365	3-[(2-methyloxolan-3-yl)sulfanyl]pyrazine-2-carbonitrile	221.285	1.618	5	0	2	58.8	0.5	15
CC1CCN(CC(=O)NC(N)=O)C1CO	IMED1796942922	{2-[2-(hydroxymethyl)-3-methylpyrrolidin-1-yl]acetyl}urea	215.253	-1.116	4	3	3	95.66	0.778	15
CC(O)CN1CCN2C(C1)C(=O)NC2=O	IMED1989801141	7-(2-hydroxypropyl)-octahydroimidazo[1,5-a]pyrazine-1,3-dione	213.237	-1.397	4	2	2	72.88	0.778	15
CC(O)CN1CC(=O)NC2CCCCC12	IMED1912713791	4-(2-hydroxypropyl)-decahydroquinoxalin-2-one	212.293	0.11	3	2	2	52.57	0.909	15
CNS(=O)(=O)CC1CCCN1CC(C)O	IMED1989784938	1-[1-(2-hydroxypropyl)pyrrolidin-2-yl]-N-methylmethanesulfonamide	236.337	-0.619	4	2	5	69.64	1.0	15
CCCN(CC(C)O)C1CCS(=O)(=O)C1	IMED1989632145	3-[(2-hydroxypropyl)(propyl)amino]-1lambda6-thiolane-1,1-dione	235.349	0.266	4	1	5	57.61	1.0	15
CCCOCC(=O)N1CCC(CC1)C#N	IMED952726937	1-(2-propoxyacetyl)piperidine-4-carbonitrile	210.277	1.175	3	0	4	53.33	0.818	15
CC[C@H](CO)NC(=O)C1(CCCC1)C#N	IMED1594584313	1-cyano-N-[(2R)-1-hydroxybutan-2-yl]cyclopentane-1-carboxamide	210.277	0.957	3	2	4	73.12	0.818	15
CC[C@@H](CO)NC(=O)C1(CCCC1)C#N	IMED1768979749	1-cyano-N-[(2S)-1-hydroxybutan-2-yl]cyclopentane-1-carboxamide	210.277	0.957	3	2	4	73.12	0.818	15
CC(NCC1=NOC(C)=N1)C1CCCC1	IMED1667938786	(1-cyclopentylethyl)[(5-methyl-1,2,4-oxadiazol-3-yl)methyl]amine	209.293	2.046	4	1	4	50.95	0.818	15
CCCOCC(=O)N1CCOC(C1)C#N	IMED1140394607	4-(2-propoxyacetyl)morpholine-2-carbonitrile	212.249	0.164	4	0	4	62.56	0.8	15
CN(CC(C)(C)O)C(=O)C1=CN(C)C=N1	IMED1455231529	N-(2-hydroxy-2-methylpropyl)-N,1-dimethyl-1H-imidazole-4-carboxamide	211.265	0.263	4	1	3	58.36	0.6	15
CN1C=NC(=C1)C(=O)NCC1(C)COC1	IMED1528408806	1-methyl-N-[(3-methyloxetan-3-yl)methyl]-1H-imidazole-4-carboxamide	209.249	0.186	4	1	3	56.15	0.6	15
CC1CCN(CC2=NOC(C)=N2)C1CO	IMED1796943191	{3-methyl-1-[(5-methyl-1,2,4-oxadiazol-3-yl)methyl]pyrrolidin-2-yl}methanol	211.265	0.581	5	1	3	62.39	0.8	15
CN1C=NC(=C1)C(=O)N1CCCC1CO	IMED1747908972	[1-(1-methyl-1H-imidazole-4-carbonyl)pyrrolidin-2-yl]methanol	209.249	0.017	4	1	2	58.36	0.6	15
CC(NCC1=NN=C(C)O1)C1CCCC1	IMED1667941884	(1-cyclopentylethyl)[(5-methyl-1,3,4-oxadiazol-2-yl)methyl]amine	209.293	2.046	4	1	4	50.95	0.818	15
CC1=NC=C(S1)C(=O)N1CCC(CO)C1	IMED1529944877	[1-(2-methyl-1,3-thiazole-5-carbonyl)pyrrolidin-3-yl]methanol	226.301	0.906	4	1	2	53.43	0.6	15
CC1=C(Br)C=NC(=C1)N1CC(O)C(O)C1	IMED1874401292	1-(5-bromo-4-methylpyridin-2-yl)pyrrolidine-3,4-diol	273.13	0.694	4	2	1	56.59	0.5	15
O=C(NC1CCSC1)C1=CC(=O)NC=C1	IMED1420612570	2-oxo-N-(thiolan-3-yl)-1,2-dihydropyridine-4-carboxamide	224.285	0.61	3	2	2	61.96	0.4	15
CC1CC(C1)NC(=O)C1=NNC(=O)C=C1	IMED1368565308	N-(3-methylcyclobutyl)-6-oxo-1,6-dihydropyridazine-3-carboxamide	207.233	0.298	3	2	2	74.85	0.5	15
NC1=C(Cl)C(NC2CCCCC2)=NC=N1	IMED1874014764	5-chloro-N4-cyclohexylpyrimidine-4,6-diamine	226.711	2.457	4	2	2	63.83	0.6	15
NC1=C(Cl)C(=NC=N1)N1CCS(=O)CC1	IMED1874178312	4-(6-amino-5-chloropyrimidin-4-yl)-1lambda4-thiomorpholin-1-one	246.723	0.281	5	1	1	72.11	0.5	15
CC1OCCC1NC1=C(Cl)C(N)=NC=N1	IMED1874308318	5-chloro-N4-(2-methyloxolan-3-yl)pyrimidine-4,6-diamine	228.683	1.301	5	2	2	73.06	0.556	15
CN(C1CCOC1)C1=C(Cl)C(N)=NC=N1	IMED1874196024	5-chloro-N4-methyl-N4-(oxolan-3-yl)pyrimidine-4,6-diamine	228.683	0.937	5	1	2	64.27	0.556	15
CN1C=C(C(=O)NCC(C)(C)O)C(C)=N1	IMED1286324973	N-(2-hydroxy-2-methylpropyl)-1,3-dimethyl-1H-pyrazole-4-carboxamide	211.265	0.229	4	2	3	67.15	0.6	15
CC1=C(Br)C=CC(=N1)N1CC(O)C(O)C1	IMED1874399350	1-(5-bromo-6-methylpyridin-2-yl)pyrrolidine-3,4-diol	273.13	0.694	4	2	1	56.59	0.5	15
NC1=C(Cl)C(=NC=N1)N1CCCC1CO	IMED1641009338	[1-(6-amino-5-chloropyrimidin-4-yl)pyrrolidin-2-yl]methanol	228.683	0.673	5	2	2	75.27	0.556	15
NC1=C(Cl)C(=NC=N1)N1CCC(CO)C1	IMED1874234350	[1-(6-amino-5-chloropyrimidin-4-yl)pyrrolidin-3-yl]methanol	228.683	0.531	5	2	2	75.27	0.556	15
NC1=C(Cl)C(NC2CCOCC2)=NC=N1	IMED1641003257	5-chloro-N4-(oxan-4-yl)pyrimidine-4,6-diamine	228.683	1.303	5	2	2	73.06	0.556	15
CC1CCN(CC1)C1=C(Cl)C(N)=NC=N1	IMED1640979833	5-chloro-6-(4-methylpiperidin-1-yl)pyrimidin-4-amine	226.711	1.948	4	1	1	55.04	0.6	15
CC1CCCCN1C1=C(Cl)C(N)=NC=N1	IMED1874018469	5-chloro-6-(2-methylpiperidin-1-yl)pyrimidin-4-amine	226.711	2.091	4	1	1	55.04	0.6	15
CN1CCN(CC1)C1=C(Cl)C(N)=NC=N1	IMED1640975561	5-chloro-6-(4-methylpiperazin-1-yl)pyrimidin-4-amine	227.699	0.464	5	1	1	58.28	0.556	15
CC1CCCN(C1)C1=C(Cl)C(N)=NC=N1	IMED1640976504	5-chloro-6-(3-methylpiperidin-1-yl)pyrimidin-4-amine	226.711	1.948	4	1	1	55.04	0.6	15
NC1=C(Cl)C(=NC=N1)N1CCCCCC1	IMED1640975514	6-(azepan-1-yl)-5-chloropyrimidin-4-amine	226.711	2.093	4	1	1	55.04	0.6	15
CC(O)CN1CCCC(C1)N1C=NC=N1	IMED1989695228	1-[3-(1H-1,2,4-triazol-1-yl)piperidin-1-yl]propan-2-ol	210.281	0.296	5	1	3	54.18	0.8	15
NC1=C(Cl)C(=NC=N1)N1CCCSCC1	IMED1641005969	5-chloro-6-(1,4-thiazepan-4-yl)pyrimidin-4-amine	244.751	1.656	5	1	1	55.04	0.556	15
CN(CC1CCC1)C1=C(Cl)C(N)=NC=N1	IMED1874206872	5-chloro-N4-(cyclobutylmethyl)-N4-methylpyrimidine-4,6-diamine	226.711	1.948	4	1	3	55.04	0.6	15
CC1CC(C)N(C1)C1=C(Cl)C(N)=NC=N1	IMED1874235463	5-chloro-6-(2,4-dimethylpyrrolidin-1-yl)pyrimidin-4-amine	226.711	1.947	4	1	1	55.04	0.6	15
CC1CN(CCS1)C1=C(Cl)C(N)=NC=N1	IMED1874177697	5-chloro-6-(2-methylthiomorpholin-4-yl)pyrimidin-4-amine	244.751	1.654	5	1	1	55.04	0.556	15
CC1=CCN(CC1)C1=C(Cl)C(N)=NC=N1	IMED1874303148	5-chloro-6-(4-methyl-1,2,3,6-tetrahydropyridin-1-yl)pyrimidin-4-amine	224.695	1.869	4	1	1	55.04	0.4	15
CC(O)CN1CCCC(C1)C1=NN=CN1	IMED1989784860	1-[3-(4H-1,2,4-triazol-3-yl)piperidin-1-yl]propan-2-ol	210.281	0.365	4	2	3	65.04	0.8	15
NC1=C(Cl)C(=NC=N1)N1CCC(O)CC1	IMED1640983744	1-(6-amino-5-chloropyrimidin-4-yl)piperidin-4-ol	228.683	0.673	5	2	1	75.27	0.556	15
NC1=C(Cl)C(=NC=N1)N1CCNC(=O)C1	IMED1640982187	4-(6-amino-5-chloropyrimidin-4-yl)piperazin-2-one	227.655	-0.352	5	2	1	84.14	0.375	15
NC1=C(Cl)C(=NC=N1)N1CC(O)C(O)C1	IMED1874400020	1-(6-amino-5-chloropyrimidin-4-yl)pyrrolidine-3,4-diol	230.655	-0.746	6	3	1	95.5	0.5	15
CC1CCN(CC1)C(=O)NCCCCO	IMED2145451711	N-(4-hydroxybutyl)-4-methylpiperidine-1-carboxamide	214.309	1.2	2	2	4	52.57	0.909	15
CC1CN(CC1C)C1=C(Cl)C(N)=NC=N1	IMED1874255789	5-chloro-6-(3,4-dimethylpyrrolidin-1-yl)pyrimidin-4-amine	226.711	1.804	4	1	1	55.04	0.6	15
OC1CN(CC1O)C1=C(Cl)C=C(Cl)C=N1	IMED2093048077	1-(3,5-dichloropyridin-2-yl)pyrrolidine-3,4-diol	249.097	0.93	4	2	1	56.59	0.444	15
CC1COCCN1C1=C(Cl)C(N)=NC=N1	IMED1640997978	5-chloro-6-(3-methylmorpholin-4-yl)pyrimidin-4-amine	228.683	0.937	5	1	1	64.27	0.556	15
CC(C)C(C)N(C)C1=C(Cl)C(N)=NC=N1	IMED1874113099	5-chloro-N4-methyl-N4-(3-methylbutan-2-yl)pyrimidine-4,6-diamine	228.727	2.193	4	1	3	55.04	0.6	15
CC1(C)CCN(C1)C1=C(Cl)C(N)=NC=N1	IMED1874253303	5-chloro-6-(3,3-dimethylpyrrolidin-1-yl)pyrimidin-4-amine	226.711	1.948	4	1	1	55.04	0.6	15
